time,accel_x,accel_y,accel_z
2019-01-11 15:10:08,0.003667,0.966333,-0.081
2019-01-11 15:10:09,-0.0125,0.9625,-0.089
2019-01-11 15:10:09,-0.028,0.867,-0.125
2019-01-11 15:10:09,-0.062,0.873,-0.155
2019-01-11 15:10:09,-0.09667,0.904333,-0.169
2019-01-11 15:10:09,-0.1155,0.963,-0.1765
2019-01-11 15:10:10,-0.10433,1.11,-0.14033
2019-01-11 15:10:10,-0.1565,1.333,-0.139
2019-01-11 15:10:10,-0.152,0.933333,-0.13033
2019-01-11 15:10:10,-0.158,0.943,-0.1205
2019-01-11 15:10:10,-0.131,0.950667,-0.14967
2019-01-11 15:10:11,-0.0995,0.9525,-0.1195
2019-01-11 15:10:11,-0.02733,0.848,-0.11433
2019-01-11 15:10:11,0.018,0.925,-0.117
2019-01-11 15:10:11,0.007667,0.954667,-0.127
2019-01-11 15:10:11,-0.0075,0.8915,-0.1545
2019-01-11 15:10:12,-0.06033,0.827667,-0.18667
2019-01-11 15:10:12,-0.111,0.895,-0.215
2019-01-11 15:10:12,-0.11467,0.922667,-0.19967
2019-01-11 15:10:12,-0.1015,1.335,-0.164
2019-01-11 15:10:12,-0.147,1.136667,-0.16
2019-01-11 15:10:13,-0.1805,0.902,-0.2035
2019-01-11 15:10:13,-0.192,0.918333,-0.23333
2019-01-11 15:10:13,-0.1685,0.949,-0.21
2019-01-11 15:10:13,-0.11433,0.971667,-0.154
2019-01-11 15:10:13,-0.013,0.7955,-0.109
2019-01-11 15:10:14,0.006,0.928,-0.08433
2019-01-11 15:10:14,-0.0185,0.9615,-0.0915
2019-01-11 15:10:14,-0.02467,0.960333,-0.114
2019-01-11 15:10:14,-0.041,0.84,-0.1525
2019-01-11 15:10:14,-0.09067,0.845667,-0.207
2019-01-11 15:10:15,-0.1355,0.8715,-0.2155
2019-01-11 15:10:15,-0.13833,0.939667,-0.157
2019-01-11 15:10:15,-0.1665,1.423,-0.145
2019-01-11 15:10:15,-0.17667,1.055333,-0.14033
2019-01-11 15:10:15,-0.1885,0.886,-0.196
2019-01-11 15:10:16,-0.186,0.923333,-0.20233
2019-01-11 15:10:16,-0.163,0.957,-0.214
2019-01-11 15:10:16,-0.109,0.966667,-0.15667
2019-01-11 15:10:16,-0.0185,0.965,-0.1035
2019-01-11 15:10:16,0.017333,0.805333,-0.12267
2019-01-11 15:10:17,0.0145,1.018,-0.0535
2019-01-11 15:10:17,0.017,0.970333,-0.05667
2019-01-11 15:10:17,0.0155,0.963,-0.092
2019-01-11 15:10:17,-0.01233,0.956667,-0.11667
2019-01-11 15:10:17,-0.0225,0.9075,-0.1415
2019-01-11 15:10:18,-0.05267,0.832667,-0.17667
2019-01-11 15:10:18,-0.11,0.8685,-0.2075
2019-01-11 15:10:18,-0.13467,0.895,-0.19933
2019-01-11 15:10:18,-0.122,1.1145,-0.191
2019-01-11 15:10:18,-0.16567,1.295667,-0.11433
2019-01-11 15:10:19,-0.172,0.878,-0.1725
2019-01-11 15:10:19,-0.194,0.910333,-0.17833
2019-01-11 15:10:19,-0.1775,0.928,-0.1535
2019-01-11 15:10:19,-0.19,0.955,-0.141
2019-01-11 15:10:19,-0.171,0.977,-0.147
2019-01-11 15:10:20,-0.11467,0.988333,-0.116
2019-01-11 15:10:20,-0.0115,0.8105,-0.0905
2019-01-11 15:10:20,0.017667,0.947667,-0.07833
2019-01-11 15:10:20,0.002,0.933,-0.1125
2019-01-11 15:10:20,-0.004,0.974333,-0.098
2019-01-11 15:10:21,-0.01,0.9635,-0.1035
2019-01-11 15:10:21,-0.02467,0.881,-0.14267
2019-01-11 15:10:21,-0.0785,0.847,-0.1905
2019-01-11 15:10:21,-0.124,0.873333,-0.229
2019-01-11 15:10:21,-0.1715,0.908,-0.22
2019-01-11 15:10:22,-0.174,1.092667,-0.15333
2019-01-11 15:10:22,-0.2195,1.4025,-0.109
2019-01-11 15:10:22,-0.192,0.871667,-0.15567
2019-01-11 15:10:22,-0.227,0.891,-0.17
2019-01-11 15:10:22,-0.22,0.925,-0.20567
2019-01-11 15:10:23,-0.186,0.9445,-0.2175
2019-01-11 15:10:23,-0.14467,0.951,-0.17433
2019-01-11 15:10:23,-0.08,0.952,-0.147
2019-01-11 15:10:23,-0.035,0.922333,-0.10567
2019-01-11 15:10:23,0.026,0.8635,-0.102
2019-01-11 15:10:24,0.054667,0.975,-0.117
2019-01-11 15:10:24,0.055,0.978,-0.119
2019-01-11 15:10:24,0.038667,0.967667,-0.1
2019-01-11 15:10:24,0.0185,0.9725,-0.083
2019-01-11 15:10:24,0.019667,0.970333,-0.07967
2019-01-11 15:10:25,0.0095,0.9575,-0.088
2019-01-11 15:10:25,0.021,0.966,-0.108
2019-01-11 15:12:05,0.0325,0.98,0.0235
2019-01-11 15:12:05,0.002,0.8535,-0.0285
2019-01-11 15:12:06,-0.06767,0.795,-0.09233
2019-01-11 15:12:06,-0.212,0.901,-0.1675
2019-01-11 15:12:06,-0.24567,0.907667,-0.11333
2019-01-11 15:12:06,-0.241,1.1655,-0.008
2019-01-11 15:12:06,-0.216,1.300667,0.010333
2019-01-11 15:12:07,-0.2315,0.894,-0.0775
2019-01-11 15:12:07,-0.267,0.923333,-0.11833
2019-01-11 15:12:07,-0.252,0.9325,-0.0955
2019-01-11 15:12:07,-0.23467,1.004,-0.08667
2019-01-11 15:12:07,-0.1155,0.8815,0.022
2019-01-11 15:12:08,-0.005,0.774667,-0.01467
2019-01-11 15:12:08,-0.066,1.048,0.0245
2019-01-11 15:12:08,-0.09133,0.678667,-0.03533
2019-01-11 15:12:08,-0.1665,0.928,-0.156
2019-01-11 15:12:08,-0.27033,0.937,-0.097
2019-01-11 15:12:09,-0.333,1.216,0.0255
2019-01-11 15:12:09,-0.28133,1.259333,-0.01333
2019-01-11 15:12:09,-0.231,0.8665,-0.122
2019-01-11 15:12:09,-0.245,0.942333,-0.19233
2019-01-11 15:12:09,-0.2255,0.9325,-0.115
2019-01-11 15:12:10,-0.15933,1.023667,-0.08767
2019-01-11 15:12:10,-0.0655,0.671,0.0135
2019-01-11 15:12:10,-0.01133,0.980333,0.023333
2019-01-11 15:12:10,-0.021,0.7265,-0.0265
2019-01-11 15:12:10,-0.115,0.704667,-0.09567
2019-01-11 15:12:11,-0.274,1.0025,-0.1305
2019-01-11 15:12:11,-0.24533,1.229333,0.004333
2019-01-11 15:12:11,-0.2615,1.39,0.074
2019-01-11 15:12:11,-0.19733,0.823,-0.04867
2019-01-11 15:12:11,-0.24,0.9225,-0.105
