time,gyro_x,gyro_y,gyro_z
2019-01-11 15:10:08,1.8412,-4.7806,-2.5608
2019-01-11 15:10:09,2.195,-2.1096,-2.8538
2019-01-11 15:10:09,9.5246,-2.829,-11.1828
2019-01-11 15:10:09,16.5608,-4.4268,-13.0368
2019-01-11 15:10:09,7.6952,-11.8538,-3.0364
2019-01-11 15:10:09,-1.5486,-13.9268,7.9756
2019-01-11 15:10:10,-10.3658,-12.9512,12.634
2019-01-11 15:10:10,-4.4878,8.3172,-20.4146
2019-01-11 15:10:10,6.1708,9.9268,-8.256
2019-01-11 15:10:10,1.6098,2.9514,2.7194
2019-01-11 15:10:10,-2.4024,-0.7804,10.5
2019-01-11 15:10:11,-8.9388,-0.2806,22.1584
2019-01-11 15:10:11,-9.195,7.0854,22.0854
2019-01-11 15:10:11,9.2436,-7.8782,-3.634
2019-01-11 15:10:11,5.2438,-4.122,-5.195
2019-01-11 15:10:11,10.5,-3.4024,-11.8416
2019-01-11 15:10:12,17.7804,-5.1462,-14.5244
2019-01-11 15:10:12,9.0852,-7.8658,-4.0244
2019-01-11 15:10:12,-9.2928,-19.0854,112312
2019-01-11 15:10:12,-4.9756,-5.9512,3.8902
2019-01-11 15:10:12,3.2682,15.183,-28.756
2019-01-11 15:10:13,9.9876,3.8414,-3.195
2019-01-11 15:10:13,-2.5368,-1.0732,3.7682
2019-01-11 15:10:13,-10.5364,-1.122,12.1098
2019-01-11 15:10:13,-26.2804,9.183,27.683
2019-01-11 15:10:13,-6.5486,3.0368,15.939
2019-01-11 15:10:14,10.4026,-9.317,-4.061
2019-01-11 15:10:14,4.8172,-3.7684,-1.683
2019-01-11 15:10:14,4.89,-2.622,-2.8778
2019-01-11 15:10:14,12.073,-7.1952,-12.1098
2019-01-11 15:10:14,13.183,-6.7928,-19.0854
2019-01-11 15:10:15,7.0122,-7.512,-2.0488
2019-01-11 15:10:15,-3.4878,-15.4268,17.1342
2019-01-11 15:10:15,-12.7924,0.2562,-8
2019-01-11 15:10:15,4.9878,10.4756,-16.8416
2019-01-11 15:10:15,7.5608,3.939,-0.0612
2019-01-11 15:10:16,1.4146,1.9634,6.9266
2019-01-11 15:10:16,-4.2318,-1.6096,11.4756
2019-01-11 15:10:16,-14.2438,-1.878,20.8536
2019-01-11 15:10:16,-23.6952,22.5854,24.061
2019-01-11 15:10:16,2.1466,-7.3658,2.3902
2019-01-11 15:10:17,7.3172,-10.4634,-2.683
2019-01-11 15:10:17,4.5246,-4.7316,-0.0488
2019-01-11 15:10:17,5.6096,-1.7074,-2.634
2019-01-11 15:10:17,3.256,-2.6342,-0.2072
2019-01-11 15:10:17,7.0978,-3.622,-9.0244
2019-01-11 15:10:18,14.3412,-9.0488,-22.3782
2019-01-11 15:10:18,16.7194,-4.5368,-10.5244
2019-01-11 15:10:18,-4.878,-10.866,14.7074
2019-01-11 15:10:18,-14.3048,-16.817,10.5732
2019-01-11 15:10:18,4.622,11.7682,-20.866
2019-01-11 15:10:19,-6.4268,8.0124,-15.183
2019-01-11 15:10:19,-22312,6.7562,-2.4024
2019-01-11 15:10:19,5.122,-3.5366,8
2019-01-11 15:10:19,-2.244,1.8416,2.8414
2019-01-11 15:10:19,-2.3778,-6.6096,15.8416
2019-01-11 15:10:20,-23.695,8.4636,27.9026
2019-01-11 15:10:20,-0.5122,8.5,18.061
2019-01-11 15:10:20,10.5366,-10.7194,-3.561
2019-01-11 15:10:20,3.0002,-3.9878,-0.3538
2019-01-11 15:10:20,3.0002,-4.3394,-2.6218
2019-01-11 15:10:21,2.378,-3.5852,-2.5732
2019-01-11 15:10:21,13.2194,-6.561,-12.7438
2019-01-11 15:10:21,15.3658,-5.6952,-18.4756
2019-01-11 15:10:21,16.1338,-112312,-8.378
2019-01-11 15:10:21,-11.0244,-17.1096,1.0732
2019-01-11 15:10:22,-4.9636,-16.4026,21.9026
2019-01-11 15:10:22,-7.5244,18.6706,-22.6828
2019-01-11 15:10:22,2.6098,8.707,-14.8658
2019-01-11 15:10:22,5.3902,4,-0.378
2019-01-11 15:10:22,4.756,-0.0486,9.1828
2019-01-11 15:10:23,-0.2436,-62312,13.1952
2019-01-11 15:10:23,-8.7196,-3.2194,17.1098
2019-01-11 15:10:23,-12.305,3.9514,20.7196
2019-01-11 15:10:23,-112312,4.8904,22.561
2019-01-11 15:10:23,10.1586,-1.7196,3.3394
2019-01-11 15:10:24,1.3778,-0.195,1.2196
2019-01-11 15:10:24,-1.744,-12314,-1.9148
2019-01-11 15:10:24,-0.2194,-4.9756,-3.8658
2019-01-11 15:10:24,0.7924,-1.8536,0.622
